Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17243128310;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-329-01-V;Yealink T54W (avec alimentation);20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:80:BA:BA;;;;1,00;130,00;;;;;;
17243128356;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-329-01-V;Yealink T54W (avec alimentation);20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:80:C4:4A;;;;1,00;130,00;;;;;;
17243128506;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:2D:BC;;;;1,00;86,00;;;;;;
17243128542;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:2E:7C;;;;1,00;93,00;;;;;;
17243128575;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-329-01-V;Yealink T54W (avec alimentation);20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:80:BA:36;;;;1,00;130,00;;;;;;
17243129976;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:37:28;;;;1,00;93,00;;;;;;
17243130003;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:37:FF;;;;1,00;93,00;;;;;;
17243130016;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-376-01-V;Yealink T53 SANS ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:37:DA;;;;1,00;86,00;;;;;;
17243130022;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-377-01-V;Yealink T53 AVEC ALIMENTATION;20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:25:2B:A1;;;;1,00;93,00;;;;;;
17243130045;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-416-01-V;Yealink W73P;20250519265C048;2025-05-20T11:18:46.556805;03912713BC;;;;1,00;95,00;;;;;;
17243130070;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-329-01-V;Yealink T54W (avec alimentation);20250519265C048;2025-05-20T11:18:46.556805;44:DB:D2:80:C2:EE;;;;1,00;130,00;;;;;;
17243130105;2025-05-20 11:18:47;Frais ponctuel;Matériel;02-334-01-V;Module d'extension EXP50 LCD 20 touches pour Yealink T5;20250519265C048;2025-05-20T11:18:46.556805;;;;;1,00;78,00;;;;;;
17371574428;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230606153684;2023-06-07 11:43:59;HDF08MN6RNH - MikroTik;;;;1,00;3,00;;;;;;
17371574501;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230606153684;2023-06-07 11:43:59;HCS08EJSFYR - MikroTik;;;;1,00;3,00;;;;;;
17371574506;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230606153684;2023-06-07 11:43:59;HCS082BHDAK - MikroTik;;;;1,00;3,00;;;;;;
17371574565;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230606153684;2023-06-07 11:43:59;HDF08ZQVTK1 - MikroTik;;;;1,00;3,00;;;;;;
17371575584;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230615154342;2023-06-26 13:07:24;HDF08VY3HZK - MikroTik;;;;1,00;3,00;;;;;;
17371575611;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230615154342;2023-06-26 13:07:24;HDF08RQMSY7 - MikroTik;;;;1,00;3,00;;;;;;
17371576662;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230703155328;2023-07-13 10:32:03;HEC08S4S0V4 - MikroTik;;;;1,00;3,00;;;;;;
17371576685;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230703155328;2023-07-13 10:32:03;HEC08Z3Q23H - MikroTik;;;;1,00;3,00;;;;;;
17371576703;2025-06-01 00:00:00;Abonnement;Matériel;02-304-01-M;Routeur FTTH VRRP;20230703155328;2023-07-13 10:32:03;HEC08MN7RD8 - MikroTik;;;;1,00;3,00;;;;;;
